ROS Time,Behaviour
02:53: 30,Pausing
02:53: 35,Pausing
02:53: 35,Spinning
02:53: 40,Spinning
02:53: 41,Pausing
02:53: 46,Pausing
02:53: 46,Spinning
02:53: 51,Spinning
02:53: 59,Spinning
02:54: 04,Spinning
02:54: 06,Spinning
02:54: 11,Spinning
02:54: 15,Spinning
02:54: 20,Spinning
02:54: 20,Pausing
02:54: 25,Pausing
02:54: 30,Pausing
02:54: 35,Pausing
02:54: 36,Spinning
02:54: 41,Spinning
02:54: 43,Pausing
02:54: 48,Pausing
02:54: 53,Pausing
02:54: 58,Pausing
02:55: 08,Pausing
02:55: 13,Pausing
02:55: 17,Pausing
02:55: 22,Pausing
02:56: 37,Spinning
02:56: 42,Spinning
03:00: 11,Pausing
03:00: 16,Pausing
