ROS Time,Behaviour
02:53: 46,Pausing
02:53: 51,Pausing
02:54: 22,Pausing
02:54: 27,Pausing
02:56: 33,Spinning
02:56: 38,Spinning
02:57: 08,Spinning
02:57: 13,Spinning
02:57: 39,Spinning
02:57: 44,Spinning
02:57: 44,Spinning
02:57: 49,Spinning
03:00: 44,Spinning
03:00: 49,Spinning
03:01: 30,Pausing
03:01: 35,Pausing
03:01: 37,Spinning
03:01: 42,Spinning
03:02: 10,Pausing
03:02: 15,Pausing
03:02: 46,Spinning
03:02: 51,Spinning
03:02: 51,Pausing
03:02: 56,Pausing
03:02: 57,Pausing
03:03: 02,Pausing
03:03: 02,Spinning
03:03: 07,Spinning
03:03: 22,Spinning
03:03: 27,Spinning
03:03: 33,Pausing
03:03: 38,Pausing
