ROS Time,Behaviour
02:53: 37,Spinning
02:53: 42,Spinning
02:53: 48,Spinning
02:53: 53,Spinning
02:53: 57,Spinning
02:54: 02,Spinning
02:54: 09,Spinning
02:54: 14,Spinning
02:54: 15,Pausing
02:54: 20,Pausing
02:54: 20,Pausing
02:54: 25,Pausing
02:54: 30,Pausing
02:54: 35,Pausing
02:54: 46,Pausing
02:54: 51,Pausing
02:55: 30,Spinning
02:55: 35,Spinning
02:55: 43,Pausing
02:55: 48,Pausing
02:55: 52,Pausing
02:55: 57,Pausing
02:55: 58,Spinning
02:56: 03,Spinning
02:56: 06,Pausing
02:56: 11,Pausing
02:56: 20,Pausing
02:56: 25,Pausing
02:56: 25,Spinning
02:56: 30,Spinning
02:56: 31,Pausing
02:56: 36,Pausing
02:56: 37,Pausing
02:56: 42,Pausing
02:56: 59,Pausing
02:57: 04,Pausing
02:57: 10,Spinning
02:57: 15,Spinning
02:57: 24,Pausing
02:57: 29,Pausing
02:57: 31,Spinning
02:57: 36,Spinning
02:57: 49,Pausing
02:57: 54,Pausing
02:57: 55,Pausing
02:58: 00,Pausing
02:58: 00,Pausing
02:58: 05,Pausing
02:58: 08,Pausing
02:58: 13,Pausing
02:58: 19,Spinning
02:58: 24,Spinning
02:58: 26,Pausing
02:58: 31,Pausing
02:58: 51,Pausing
02:58: 56,Pausing
02:59: 06,Pausing
02:59: 11,Pausing
02:59: 12,Pausing
02:59: 17,Pausing
02:59: 22,Pausing
02:59: 27,Pausing
02:59: 29,Spinning
02:59: 34,Spinning
02:59: 35,Pausing
02:59: 40,Pausing
02:59: 49,Pausing
02:59: 54,Pausing
02:59: 55,Spinning
03:00: 00,Spinning
03:00: 02,Pausing
03:00: 07,Pausing
03:00: 07,Pausing
03:00: 12,Pausing
03:00: 13,Spinning
03:00: 18,Spinning
03:00: 18,Pausing
03:00: 23,Pausing
03:00: 30,Spinning
03:00: 35,Spinning
03:00: 44,Pausing
03:00: 49,Pausing
03:00: 58,Pausing
03:01: 03,Pausing
03:01: 08,Pausing
03:01: 13,Pausing
03:01: 14,Spinning
03:01: 19,Spinning
03:01: 22,Pausing
03:01: 27,Pausing
03:01: 27,Spinning
03:01: 32,Spinning
03:01: 41,Spinning
03:01: 46,Spinning
03:01: 52,Spinning
03:01: 57,Spinning
