ROS Time,Behaviour
02:53: 44,Spinning
02:53: 49,Spinning
02:54: 07,Pausing
02:54: 12,Pausing
02:54: 34,Pausing
02:54: 39,Pausing
02:54: 48,Spinning
02:54: 53,Spinning
02:55: 03,Spinning
02:55: 08,Spinning
02:56: 08,Pausing
02:56: 13,Pausing
02:58: 16,Pausing
02:58: 21,Pausing
02:59: 01,Pausing
02:59: 06,Pausing
02:59: 42,Spinning
02:59: 47,Spinning
03:00: 12,Spinning
03:00: 17,Spinning
03:01: 09,Pausing
03:01: 14,Pausing
03:01: 16,Spinning
03:01: 21,Spinning
03:01: 34,Pausing
03:01: 39,Pausing
03:01: 58,Spinning
03:02: 03,Spinning
03:02: 08,Spinning
03:02: 13,Spinning
03:02: 18,Pausing
03:02: 23,Pausing
03:02: 43,Pausing
03:02: 48,Pausing
03:02: 56,Pausing
03:03: 01,Pausing
03:04: 07,Pausing
03:04: 12,Pausing
